时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 16:21:29,1970.7万,105.3万,33.1万,9.8,21475人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 17:21:45,1970.8万,105.3万,33.1万,9.8,21475人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 18:22:00,1971万,105.4万,33.1万,9.8,21478人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 18:52:53,1971万,105.4万,33.1万,9.8,21478人评
2019-11-08 19:53:13,1971.2万,105.4万,33.1万,9.8,21480人评
2019-11-08 20:53:29,1971.4万,105.4万,33.1万,9.8,21480人评
2019-11-08 21:53:44,1971.6万,105.4万,33.1万,9.8,21480人评
2019-11-08 22:54:01,1971.9万,105.4万,33.1万,9.8,21485人评
2019-11-08 23:54:18,1972.2万,105.4万,33.1万,9.8,21489人评
2019-11-09 00:54:39,1972.5万,105.4万,33.1万,9.8,21495人评
2019-11-09 01:55:00,1972.7万,105.4万,33.1万,9.8,21497人评
2019-11-09 02:55:19,1972.9万,105.4万,33.1万,9.8,21497人评
2019-11-09 03:55:36,1973.1万,105.4万,33.1万,9.8,21498人评
2019-11-09 04:55:51,1973.1万,105.4万,33.1万,9.8,21499人评
2019-11-09 05:56:10,1973.2万,105.4万,33.1万,9.8,21499人评
