2019-11-07 10:09:15,3163.3万,164.2万,107.2万,9.8,29923人评
2019-11-07 11:09:28,3163.4万,164.2万,107.2万,9.8,29925人评
2019-11-07 12:09:40,3163.5万,164.2万,107.2万,9.8,29926人评
2019-11-07 13:09:53,3163.7万,164.2万,107.2万,9.8,29926人评
2019-11-07 14:10:05,3164万,164.2万,107.2万,9.8,29928人评
2019-11-07 15:10:18,3164.2万,164.2万,107.2万,9.8,29930人评
2019-11-07 16:10:31,3164.3万,164.2万,107.2万,9.8,29931人评
2019-11-07 17:10:44,3164.5万,164.3万,107.2万,9.8,29934人评
2019-11-07 18:10:57,3164.7万,164.3万,107.2万,9.8,29936人评
2019-11-07 19:11:09,3164.9万,164.3万,107.2万,9.8,29937人评
2019-11-07 20:11:22,3165.2万,164.3万,107.2万,9.8,29939人评
2019-11-07 21:11:35,3165.4万,164.3万,107.2万,9.8,29940人评
2019-11-07 22:11:47,3165.6万,164.3万,107.2万,9.8,29946人评
2019-11-07 23:12:00,3166万,164.3万,107.3万,9.8,29947人评
2019-11-08 00:12:12,3166.3万,164.4万,107.3万,9.8,29951人评
2019-11-08 01:12:25,3166.7万,164.4万,107.3万,9.8,29952人评
2019-11-08 02:12:38,3167万,164.4万,107.3万,9.8,29958人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 03:17:37,3167.1万,164.4万,107.3万,9.8,29961人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 04:17:52,3167.2万,164.4万,107.3万,9.8,29961人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 05:18:12,3167.2万,164.4万,107.3万,9.8,29964人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 06:18:27,3167.3万,164.4万,107.3万,9.8,29964人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 07:18:42,3167.3万,164.4万,107.3万,9.8,29966人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 08:19:02,3167.3万,164.4万,107.3万,9.8,29966人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 09:19:24,3167.4万,164.4万,107.3万,9.8,29966人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 10:19:38,3167.5万,164.4万,107.3万,9.8,29966人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 11:19:55,3167.6万,164.4万,107.3万,9.8,29968人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 12:20:12,3167.7万,164.4万,107.3万,9.8,29968人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 13:20:32,3167.9万,164.4万,107.3万,9.8,29969人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 14:20:54,3168.1万,164.4万,107.3万,9.8,29970人评
时间,播放数,关注,弹幕,评分,评分人数
2019-11-08 15:21:11,3168.3万,164.4万,107.3万,9.8,29973人评
时间,播放数,关注,弹幕,评分,评分人数
